Date,Region,Service_Line,Industry,Revenue,Cost,Profit,Quarter
2025-07-24,LATAM,Tech Implementation,Government,54632,37820,16811,Q3-2025
2025-11-28,Europe,Audit Services,Healthcare,14563,11731,2831,Q4-2025
2025-04-29,LATAM,Risk Advisory,Healthcare,66056,41550,24505,Q2-2025
2024-12-30,North America,Strategy Consulting,Finance,15412,6480,8931,Q4-2024
2025-07-06,Europe,Audit Services,Finance,63271,52298,10973,Q3-2025
2024-02-24,North America,Tech Implementation,Healthcare,15384,11200,4183,Q1-2024
2025-09-29,LATAM,Tech Implementation,Energy,47078,31478,15599,Q3-2025
2024-03-23,Europe,Strategy Consulting,Government,19509,6199,13309,Q1-2024
2025-03-11,North America,Risk Advisory,Retail,71068,40533,30534,Q1-2025
2025-06-16,APAC,Tech Implementation,Government,40512,29495,11016,Q2-2025
2024-07-01,APAC,Audit Services,Healthcare,49912,42694,7218,Q3-2024
2024-09-09,LATAM,Risk Advisory,Retail,7063,5043,2019,Q3-2024
2025-05-29,APAC,Strategy Consulting,Government,42045,16327,25717,Q2-2025
2025-05-11,APAC,Audit Services,Government,43175,37400,5774,Q2-2025
2025-03-01,LATAM,Tech Implementation,Retail,32326,18695,13630,Q1-2025
2024-10-15,LATAM,Audit Services,Healthcare,61480,54262,7218,Q4-2024
2024-07-04,North America,Risk Advisory,Government,63877,38773,25103,Q3-2024
2024-05-22,North America,Audit Services,Retail,60061,51613,8448,Q2-2024
2025-06-21,LATAM,Tech Implementation,Energy,70474,43578,26895,Q2-2025
2024-01-12,Europe,Strategy Consulting,Government,26610,11411,15198,Q1-2024
2025-10-19,APAC,Audit Services,Retail,36872,32882,3990,Q4-2025
2025-11-12,North America,Tech Implementation,Healthcare,64764,41186,23577,Q4-2025
2024-04-19,Europe,Audit Services,Retail,63372,49283,14088,Q2-2024
2024-08-01,Europe,Risk Advisory,Energy,52771,37313,15457,Q3-2024
2025-04-11,LATAM,Risk Advisory,Healthcare,64080,46455,17624,Q2-2025
2025-08-05,North America,Risk Advisory,Energy,56074,36672,19401,Q3-2025
2025-08-09,Europe,Tech Implementation,Energy,7516,5533,1982,Q3-2025
2024-03-12,Europe,Tech Implementation,Government,43399,29864,13534,Q1-2024
2025-07-09,North America,Audit Services,Energy,36004,27485,8518,Q3-2025
2025-11-18,APAC,Strategy Consulting,Healthcare,50974,16629,34344,Q4-2025
2024-08-12,North America,Tech Implementation,Retail,34795,21450,13344,Q3-2024
2024-06-13,LATAM,Tech Implementation,Retail,63623,35846,27776,Q2-2024
2025-01-29,LATAM,Audit Services,Government,8143,6296,1846,Q1-2025
2025-05-08,North America,Strategy Consulting,Healthcare,97656,37526,60129,Q2-2025
2025-03-18,Europe,Audit Services,Retail,24996,19218,5778,Q1-2025
2025-09-08,APAC,Tech Implementation,Healthcare,28826,21075,7750,Q3-2025
2025-08-05,APAC,Risk Advisory,Finance,28420,19477,8942,Q3-2025
2024-02-13,APAC,Risk Advisory,Healthcare,13411,9053,4357,Q1-2024
2024-02-02,North America,Audit Services,Healthcare,55164,41915,13249,Q1-2024
2024-06-10,LATAM,Tech Implementation,Healthcare,74226,41137,33088,Q2-2024
2024-12-31,LATAM,Risk Advisory,Healthcare,17536,12228,5307,Q4-2024
2025-09-06,APAC,Tech Implementation,Retail,43853,24165,19687,Q3-2025
2024-12-20,LATAM,Risk Advisory,Healthcare,5635,3166,2468,Q4-2024
2025-06-01,North America,Audit Services,Government,21860,19252,2608,Q2-2025
2025-06-21,Europe,Tech Implementation,Energy,28846,20426,8419,Q2-2025
2025-09-04,North America,Strategy Consulting,Healthcare,61356,23930,37425,Q3-2025
2025-08-11,North America,Strategy Consulting,Healthcare,84468,28540,55927,Q3-2025
2024-06-12,LATAM,Strategy Consulting,Healthcare,34536,13562,20973,Q2-2024
2025-07-03,Europe,Risk Advisory,Energy,27022,18291,8730,Q3-2025
2024-08-28,Europe,Risk Advisory,Retail,49131,27508,21622,Q3-2024
2024-06-17,APAC,Audit Services,Energy,40461,36104,4356,Q2-2024
2024-01-20,LATAM,Risk Advisory,Government,19371,10684,8686,Q1-2024
2025-04-19,North America,Audit Services,Finance,12311,9242,3068,Q2-2025
2025-01-11,Europe,Tech Implementation,Government,40935,27281,13653,Q1-2025
2024-03-19,APAC,Strategy Consulting,Retail,41854,15408,26446,Q1-2024
2025-06-15,Europe,Strategy Consulting,Finance,52299,25293,27005,Q2-2025
2024-04-24,Europe,Strategy Consulting,Finance,107340,44899,62440,Q2-2024
2025-07-03,APAC,Strategy Consulting,Energy,36241,14037,22204,Q3-2025
2024-08-10,North America,Risk Advisory,Healthcare,5778,3368,2409,Q3-2024
2025-11-18,APAC,Strategy Consulting,Energy,28032,13425,14606,Q4-2025
2025-05-06,Europe,Risk Advisory,Retail,57934,39974,17959,Q2-2025
2025-07-31,LATAM,Risk Advisory,Retail,5044,3740,1303,Q3-2025
2024-02-26,North America,Audit Services,Retail,57900,46330,11569,Q1-2024
2025-01-29,Europe,Strategy Consulting,Retail,26110,10937,15173,Q1-2025
2024-06-16,North America,Tech Implementation,Energy,34845,20735,14109,Q2-2024
2025-07-28,North America,Strategy Consulting,Finance,21915,6890,15024,Q3-2025
2025-12-08,North America,Strategy Consulting,Energy,66045,29404,36640,Q4-2025
2024-06-20,LATAM,Risk Advisory,Energy,38679,26972,11706,Q2-2024
2025-06-27,LATAM,Strategy Consulting,Energy,114922,35262,79660,Q2-2025
2025-03-19,Europe,Strategy Consulting,Government,105753,51618,54134,Q1-2025
2025-04-13,North America,Tech Implementation,Finance,41513,23826,17686,Q2-2025
2025-05-07,APAC,Audit Services,Energy,27860,23661,4198,Q2-2025
2024-12-31,Europe,Audit Services,Finance,39568,30733,8835,Q4-2024
2025-01-17,APAC,Strategy Consulting,Finance,53959,18997,34961,Q1-2025
2025-01-31,LATAM,Risk Advisory,Government,14209,9196,5012,Q1-2025
2024-08-08,LATAM,Risk Advisory,Government,55279,37123,18155,Q3-2024
2024-05-21,APAC,Strategy Consulting,Finance,22227,10123,12103,Q2-2024
2024-02-02,APAC,Strategy Consulting,Government,40747,18494,22253,Q1-2024
2025-10-12,LATAM,Audit Services,Energy,39539,32924,6614,Q4-2025
2025-12-28,Europe,Risk Advisory,Finance,61202,38941,22260,Q4-2025
2024-09-16,Europe,Risk Advisory,Healthcare,31319,20961,10357,Q3-2024
2024-11-10,Europe,Strategy Consulting,Government,24999,11929,13069,Q4-2024
2024-12-15,Europe,Risk Advisory,Healthcare,70643,47631,23011,Q4-2024
2025-12-17,Europe,Tech Implementation,Finance,40259,28632,11626,Q4-2025
2024-02-22,LATAM,Audit Services,Retail,25756,22933,2822,Q1-2024
2025-12-05,Europe,Risk Advisory,Healthcare,24036,15797,8238,Q4-2025
2025-03-13,Europe,Risk Advisory,Finance,23776,15619,8156,Q1-2025
2025-03-30,APAC,Strategy Consulting,Energy,9297,3313,5983,Q1-2025
2025-09-03,APAC,Strategy Consulting,Finance,84748,35079,49669,Q3-2025
2025-08-28,North America,Strategy Consulting,Finance,72439,26695,45744,Q3-2025
2024-04-24,LATAM,Risk Advisory,Healthcare,31423,20532,10890,Q2-2024
2024-07-19,North America,Audit Services,Energy,52193,42634,9558,Q3-2024
2024-05-28,LATAM,Risk Advisory,Healthcare,20975,15406,5568,Q2-2024
2025-05-02,North America,Risk Advisory,Energy,37476,25055,12420,Q2-2025
2025-08-07,LATAM,Tech Implementation,Energy,77779,46411,31367,Q3-2025
2025-10-01,Europe,Risk Advisory,Retail,20944,14445,6498,Q4-2025
2025-03-12,APAC,Risk Advisory,Retail,73665,46929,26735,Q1-2025
2024-07-02,LATAM,Audit Services,Finance,22146,16795,5350,Q3-2024
2024-06-30,North America,Tech Implementation,Retail,60357,34664,25692,Q2-2024
2024-10-17,Europe,Audit Services,Retail,53324,44369,8954,Q4-2024
2024-12-16,LATAM,Audit Services,Healthcare,60348,51456,8892,Q4-2024
2025-12-28,Europe,Tech Implementation,Retail,56162,32075,24086,Q4-2025
2024-06-30,APAC,Risk Advisory,Government,29971,18464,11506,Q2-2024
2024-02-16,Europe,Audit Services,Energy,26479,23098,3381,Q1-2024
2024-07-28,APAC,Strategy Consulting,Government,105295,39766,65529,Q3-2024
2025-09-29,Europe,Strategy Consulting,Retail,88596,35303,53292,Q3-2025
2024-06-26,Europe,Tech Implementation,Finance,50660,34930,15729,Q2-2024
2024-04-05,Europe,Tech Implementation,Government,26446,17095,9350,Q2-2024
2024-10-13,APAC,Tech Implementation,Healthcare,33949,20968,12980,Q4-2024
2024-09-22,North America,Risk Advisory,Energy,20983,11892,9090,Q3-2024
2025-06-01,LATAM,Audit Services,Retail,17544,14724,2819,Q2-2025
2025-11-30,LATAM,Tech Implementation,Government,67919,47594,20324,Q4-2025
2024-03-20,North America,Risk Advisory,Healthcare,46732,30027,16704,Q1-2024
2025-05-17,APAC,Audit Services,Retail,25709,23110,2598,Q2-2025
2025-03-20,APAC,Risk Advisory,Healthcare,65924,42204,23719,Q1-2025
2025-01-01,North America,Strategy Consulting,Energy,33352,14436,18916,Q1-2025
2024-07-08,Europe,Audit Services,Energy,33092,25976,7116,Q3-2024
2025-04-17,North America,Strategy Consulting,Energy,48300,22530,25769,Q2-2025
2024-07-08,APAC,Risk Advisory,Energy,66712,42551,24160,Q3-2024
2025-10-07,Europe,Strategy Consulting,Finance,88794,39285,49508,Q4-2025
2025-02-14,Europe,Risk Advisory,Healthcare,36397,24330,12066,Q1-2025
2024-01-11,APAC,Strategy Consulting,Energy,104728,36954,67773,Q1-2024
2025-09-24,LATAM,Tech Implementation,Finance,68864,48305,20558,Q3-2025
2025-08-13,APAC,Strategy Consulting,Energy,113935,38017,75918,Q3-2025
2025-01-29,North America,Tech Implementation,Retail,50936,38157,12778,Q1-2025
2024-03-11,APAC,Strategy Consulting,Finance,18447,7565,10881,Q1-2024
2025-09-23,LATAM,Audit Services,Finance,44423,35873,8549,Q3-2025
2025-04-10,Europe,Audit Services,Energy,31469,26105,5364,Q2-2025
2025-02-02,APAC,Strategy Consulting,Retail,96940,38737,58202,Q1-2025
2025-03-08,LATAM,Strategy Consulting,Healthcare,10879,4543,6336,Q1-2025
2024-04-18,Europe,Audit Services,Government,52964,46776,6187,Q2-2024
2025-10-21,LATAM,Tech Implementation,Retail,62889,37768,25120,Q4-2025
2025-11-22,LATAM,Risk Advisory,Government,19798,11213,8584,Q4-2025
2025-06-13,Europe,Tech Implementation,Government,44019,30191,13827,Q2-2025
2024-09-07,APAC,Strategy Consulting,Retail,87655,34726,52929,Q3-2024
2024-08-08,LATAM,Strategy Consulting,Retail,67359,20392,46966,Q3-2024
2024-07-25,LATAM,Tech Implementation,Government,8158,5400,2757,Q3-2024
2024-02-12,Europe,Risk Advisory,Energy,56049,40290,15758,Q1-2024
2025-12-01,LATAM,Tech Implementation,Retail,43572,24633,18938,Q4-2025
2024-05-08,LATAM,Tech Implementation,Retail,40117,25030,15086,Q2-2024
2024-12-15,APAC,Strategy Consulting,Finance,59272,23193,36078,Q4-2024
2024-07-30,APAC,Tech Implementation,Government,72054,52830,19223,Q3-2024
2024-05-25,APAC,Tech Implementation,Government,12112,7117,4994,Q2-2024
2025-06-30,Europe,Tech Implementation,Energy,75741,50098,25642,Q2-2025
2025-09-22,LATAM,Risk Advisory,Finance,31682,21098,10583,Q3-2025
2025-11-16,APAC,Strategy Consulting,Retail,55026,19405,35620,Q4-2025
2025-02-12,LATAM,Risk Advisory,Finance,8350,5387,2962,Q1-2025
2025-04-29,LATAM,Tech Implementation,Retail,56285,35349,20935,Q2-2025
2025-07-31,APAC,Audit Services,Energy,48929,40515,8413,Q3-2025
2025-11-04,APAC,Risk Advisory,Retail,25407,15750,9656,Q4-2025
2025-10-31,APAC,Risk Advisory,Government,33281,22122,11158,Q4-2025
2025-09-19,Europe,Strategy Consulting,Retail,70824,22692,48131,Q3-2025
2024-06-09,North America,Tech Implementation,Retail,51189,33317,17871,Q2-2024
2024-01-14,LATAM,Tech Implementation,Healthcare,9626,6557,3068,Q1-2024
2025-08-19,Europe,Tech Implementation,Finance,21271,13091,8179,Q3-2025
2024-11-19,APAC,Risk Advisory,Finance,29704,19914,9789,Q4-2024
2024-01-12,North America,Tech Implementation,Finance,54823,38075,16747,Q1-2024
2025-03-14,Europe,Risk Advisory,Energy,33513,18524,14988,Q1-2025
2025-11-22,North America,Tech Implementation,Finance,59954,41655,18298,Q4-2025
2024-08-08,LATAM,Strategy Consulting,Energy,16852,7723,9128,Q3-2024
2025-04-30,Europe,Tech Implementation,Finance,52828,34095,18732,Q2-2025
2025-04-01,North America,Strategy Consulting,Finance,85920,35095,50824,Q2-2025
2024-03-09,LATAM,Risk Advisory,Finance,76762,56789,19972,Q1-2024
2025-08-06,LATAM,Risk Advisory,Healthcare,20721,13650,7070,Q3-2025
2025-06-15,LATAM,Risk Advisory,Energy,6136,3661,2474,Q2-2025
2025-11-25,APAC,Risk Advisory,Government,18548,11392,7155,Q4-2025
2024-12-11,LATAM,Risk Advisory,Energy,46895,33303,13591,Q4-2024
2024-11-07,APAC,Audit Services,Healthcare,32208,27719,4488,Q4-2024
2025-04-03,APAC,Tech Implementation,Government,38477,24580,13896,Q2-2025
2024-01-26,LATAM,Tech Implementation,Retail,36145,25460,10684,Q1-2024
2025-08-12,LATAM,Risk Advisory,Energy,10006,6439,3566,Q3-2025
2024-03-13,LATAM,Strategy Consulting,Retail,52381,26079,26301,Q1-2024
2024-03-24,APAC,Risk Advisory,Government,9963,5669,4293,Q1-2024
2025-09-19,LATAM,Risk Advisory,Retail,43544,28982,14561,Q3-2025
2025-06-02,Europe,Strategy Consulting,Finance,104394,41166,63227,Q2-2025
2024-07-25,LATAM,Tech Implementation,Energy,66994,42832,24161,Q3-2024
2025-11-20,Europe,Tech Implementation,Healthcare,60620,43981,16638,Q4-2025
2025-12-06,North America,Strategy Consulting,Retail,116290,56765,59524,Q4-2025
2024-10-13,Europe,Tech Implementation,Government,13672,7527,6144,Q4-2024
2025-09-18,Europe,Audit Services,Finance,14736,12623,2112,Q3-2025
2024-10-12,LATAM,Tech Implementation,Healthcare,42771,29042,13728,Q4-2024
2025-05-05,North America,Strategy Consulting,Government,20155,9308,10846,Q2-2025
2025-06-02,Europe,Tech Implementation,Finance,14611,9092,5518,Q2-2025
2025-05-22,Europe,Risk Advisory,Retail,53543,32107,21435,Q2-2025
2024-11-27,Europe,Audit Services,Finance,18822,16812,2010,Q4-2024
2024-05-09,Europe,Tech Implementation,Finance,8059,4983,3075,Q2-2024
2025-08-18,North America,Strategy Consulting,Healthcare,47872,21218,26654,Q3-2025
2024-11-09,Europe,Audit Services,Energy,37107,30650,6456,Q4-2024
2025-04-28,Europe,Audit Services,Government,48148,43149,4998,Q2-2025
2025-09-21,Europe,Strategy Consulting,Finance,22804,10786,12017,Q3-2025
2024-01-30,LATAM,Audit Services,Government,47237,38983,8254,Q1-2024
2024-04-20,Europe,Tech Implementation,Energy,24033,17138,6894,Q2-2024
2025-04-05,LATAM,Tech Implementation,Government,14280,10063,4216,Q2-2025
2025-02-21,Europe,Tech Implementation,Government,49099,28652,20446,Q1-2025
2025-05-07,North America,Strategy Consulting,Healthcare,100524,35633,64890,Q2-2025
2025-01-06,APAC,Risk Advisory,Finance,41988,25009,16978,Q1-2025
2025-02-08,North America,Risk Advisory,Healthcare,51170,31977,19192,Q1-2025
2024-03-08,APAC,Risk Advisory,Retail,34209,20997,13211,Q1-2024
2024-05-19,LATAM,Audit Services,Healthcare,23124,17748,5376,Q2-2024
2025-06-30,LATAM,Risk Advisory,Finance,49402,28907,20494,Q2-2025
2025-01-05,North America,Audit Services,Healthcare,48352,39545,8806,Q1-2025
2024-06-10,North America,Tech Implementation,Retail,54857,39256,15600,Q2-2024
2025-03-19,Europe,Audit Services,Government,54071,42301,11770,Q1-2025
2024-11-21,Europe,Risk Advisory,Healthcare,14486,8490,5995,Q4-2024
2024-01-02,North America,Strategy Consulting,Finance,25000,8705,16295,Q1-2024
2025-02-07,APAC,Tech Implementation,Finance,35936,26203,9732,Q1-2025
2024-03-23,Europe,Tech Implementation,Retail,43866,28151,15714,Q1-2024
2025-08-21,Europe,Strategy Consulting,Finance,105643,39128,66515,Q3-2025
2025-09-01,North America,Strategy Consulting,Energy,10837,5116,5720,Q3-2025
2024-01-04,Europe,Strategy Consulting,Energy,29437,8850,20586,Q1-2024
2024-09-12,LATAM,Tech Implementation,Healthcare,28108,16088,12019,Q3-2024
2024-12-17,LATAM,Strategy Consulting,Government,51375,22230,29144,Q4-2024
2024-08-06,Europe,Tech Implementation,Finance,41754,28608,13145,Q3-2024
2025-03-17,Europe,Tech Implementation,Finance,53465,38251,15213,Q1-2025
2024-10-03,North America,Tech Implementation,Healthcare,19824,12078,7745,Q4-2024
2024-01-28,APAC,Strategy Consulting,Retail,59745,20276,39468,Q1-2024
2024-09-22,North America,Risk Advisory,Finance,61772,40885,20886,Q3-2024
2024-09-02,APAC,Risk Advisory,Retail,11610,8371,3238,Q3-2024
2024-09-25,Europe,Strategy Consulting,Government,40047,14415,25631,Q3-2024
2025-10-17,APAC,Audit Services,Government,59440,50255,9184,Q4-2025
2024-02-02,LATAM,Tech Implementation,Government,32010,22773,9236,Q1-2024
2025-11-28,LATAM,Strategy Consulting,Government,77710,34837,42872,Q4-2025
2024-04-18,APAC,Strategy Consulting,Retail,44044,13746,30298,Q2-2024
2024-09-24,LATAM,Audit Services,Energy,40478,30989,9489,Q3-2024
2024-05-13,Europe,Audit Services,Finance,6112,4760,1352,Q2-2024
2025-01-08,Europe,Audit Services,Government,63320,54030,9290,Q1-2025
2025-05-11,Europe,Audit Services,Finance,9136,7570,1565,Q2-2025
2024-02-06,Europe,Strategy Consulting,Healthcare,65143,27435,37707,Q1-2024
2024-12-05,North America,Strategy Consulting,Retail,54790,24658,30132,Q4-2024
2025-01-17,Europe,Tech Implementation,Energy,74197,42485,31711,Q1-2025
2025-10-27,Europe,Strategy Consulting,Finance,110710,34105,76604,Q4-2025
2024-06-21,LATAM,Strategy Consulting,Healthcare,61201,20950,40251,Q2-2024
2024-11-15,APAC,Risk Advisory,Healthcare,68627,49782,18844,Q4-2024
2024-06-03,Europe,Risk Advisory,Retail,43959,32305,11653,Q2-2024
2025-07-20,Europe,Risk Advisory,Energy,49232,33845,15386,Q3-2025
2024-09-22,North America,Audit Services,Government,26644,20071,6572,Q3-2024
2024-03-19,Europe,Strategy Consulting,Finance,104641,46815,57825,Q1-2024
2024-10-12,APAC,Risk Advisory,Healthcare,67342,40510,26831,Q4-2024
2025-01-21,APAC,Strategy Consulting,Government,73287,25069,48217,Q1-2025
2024-08-17,North America,Risk Advisory,Retail,20949,12754,8194,Q3-2024
2024-07-22,North America,Strategy Consulting,Healthcare,68292,27146,41145,Q3-2024
2024-11-12,APAC,Audit Services,Retail,44288,34786,9502,Q4-2024
2024-08-07,APAC,Tech Implementation,Retail,41583,24899,16683,Q3-2024
2024-10-12,LATAM,Strategy Consulting,Healthcare,98284,47587,50697,Q4-2024
2024-04-05,North America,Strategy Consulting,Government,116101,49766,66334,Q2-2024
2025-09-01,North America,Audit Services,Energy,51212,44377,6835,Q3-2025
2024-01-28,APAC,Strategy Consulting,Retail,71808,35028,36779,Q1-2024
2025-07-20,Europe,Risk Advisory,Energy,71365,44206,27158,Q3-2025
2025-09-23,LATAM,Strategy Consulting,Government,85941,30893,55047,Q3-2025
2025-01-07,LATAM,Audit Services,Finance,16680,14733,1946,Q1-2025
2024-07-30,APAC,Tech Implementation,Government,61604,37589,24014,Q3-2024
2024-08-02,APAC,Audit Services,Government,57184,50247,6937,Q3-2024
2025-04-18,North America,Audit Services,Energy,30941,27137,3803,Q2-2025
2025-05-27,APAC,Audit Services,Government,52066,40948,11118,Q2-2025
2025-03-10,LATAM,Strategy Consulting,Energy,88828,41147,47681,Q1-2025
2025-12-26,APAC,Audit Services,Government,42925,37883,5042,Q4-2025
2024-12-24,APAC,Strategy Consulting,Healthcare,14818,6832,7986,Q4-2024
2025-11-05,North America,Strategy Consulting,Retail,76002,25027,50974,Q4-2025
2025-01-24,North America,Risk Advisory,Retail,41298,29660,11637,Q1-2025
2025-05-12,North America,Tech Implementation,Finance,21977,14997,6979,Q2-2025
2024-09-01,APAC,Strategy Consulting,Retail,81607,30711,50896,Q3-2024
2024-12-15,APAC,Tech Implementation,Finance,22417,16479,5937,Q4-2024
2025-02-09,LATAM,Audit Services,Energy,6569,5621,947,Q1-2025
2024-07-13,APAC,Risk Advisory,Healthcare,39565,24371,15193,Q3-2024
2025-01-14,Europe,Strategy Consulting,Finance,110644,54902,55742,Q1-2025
2024-09-03,APAC,Tech Implementation,Finance,9171,5782,3388,Q3-2024
2025-08-21,LATAM,Audit Services,Energy,27484,22525,4958,Q3-2025
2025-02-13,North America,Audit Services,Finance,49116,38701,10415,Q1-2025
2025-09-20,North America,Audit Services,Energy,22932,18456,4475,Q3-2025
2025-08-20,Europe,Audit Services,Energy,21465,18938,2527,Q3-2025
2024-01-04,North America,Audit Services,Healthcare,38944,33366,5578,Q1-2024
2024-09-26,LATAM,Strategy Consulting,Government,28549,12333,16215,Q3-2024
2024-03-28,APAC,Strategy Consulting,Healthcare,68073,21891,46181,Q1-2024
2025-11-21,APAC,Audit Services,Finance,6244,5391,853,Q4-2025
2024-05-02,North America,Audit Services,Healthcare,19568,14860,4707,Q2-2024
2024-09-03,Europe,Strategy Consulting,Energy,43053,15624,27428,Q3-2024
2025-10-11,LATAM,Risk Advisory,Finance,51185,29215,21969,Q4-2025
2025-01-07,APAC,Risk Advisory,Government,39907,24206,15700,Q1-2025
2024-08-21,North America,Risk Advisory,Energy,65802,43739,22062,Q3-2024
2024-03-26,LATAM,Audit Services,Healthcare,38640,33420,5219,Q1-2024
2024-06-14,Europe,Tech Implementation,Government,57814,33291,24522,Q2-2024
2024-12-24,LATAM,Audit Services,Retail,31682,25632,6049,Q4-2024
2024-12-22,North America,Risk Advisory,Finance,26214,14976,11237,Q4-2024
2025-09-16,North America,Risk Advisory,Finance,76905,48691,28213,Q3-2025
2025-03-11,North America,Audit Services,Retail,42215,32411,9804,Q1-2025
2024-06-08,LATAM,Risk Advisory,Energy,68651,47066,21584,Q2-2024
2025-07-05,LATAM,Risk Advisory,Government,32840,24045,8794,Q3-2025
2024-02-06,Europe,Audit Services,Government,22971,19051,3920,Q1-2024
2024-08-27,LATAM,Audit Services,Government,15232,12336,2896,Q3-2024
